,AT_transversion,AT_transition,GC_transversion,CpG_transversion,GC_transition,CpG_transition,feature
DO48695,12.5,25.0,8.33,8.33,33.33,12.5,Liver-HCC
DO48697,7.14,42.86,28.57,0.0,21.43,0.0,Liver-HCC
DO23550,0.0,25.0,18.75,0.0,50.0,6.25,Liver-HCC
DO22887,12.5,18.75,6.25,0.0,43.75,18.75,Liver-HCC
DO45263,18.18,18.18,9.09,0.0,54.55,0.0,Liver-HCC
DO45265,15.0,25.0,15.0,10.0,25.0,10.0,Liver-HCC
DO23551,11.63,39.53,11.63,2.33,20.93,13.95,Liver-HCC
DO45267,18.87,32.08,3.77,0.0,35.85,9.43,Liver-HCC
DO48700,15.38,30.77,15.38,7.69,23.08,7.69,Liver-HCC
DO23552,21.43,35.71,7.14,7.14,28.57,0.0,Liver-HCC
DO22145,0.0,28.57,0.0,0.0,42.86,28.57,CNS-Oligo
DO22285,20.0,30.0,0.0,0.0,30.0,20.0,CNS-Oligo
DO22490,0.0,28.57,14.29,0.0,28.57,28.57,CNS-Oligo
DO22356,0.0,0.0,0.0,20.0,40.0,40.0,CNS-Oligo
DO22117,100.0,0.0,0.0,0.0,0.0,0.0,CNS-Oligo
DO22736,0.0,14.29,14.29,0.0,42.86,28.57,CNS-Oligo
DO22496,,,,,,,CNS-Oligo
DO22524,0.0,7.69,0.0,0.0,38.46,53.85,CNS-Oligo
DO22417,7.14,28.57,0.0,0.0,28.57,35.71,CNS-Oligo
DO22106,0.0,0.0,0.0,0.0,0.0,100.0,CNS-Oligo
DO22195,0.0,0.0,25.0,0.0,50.0,25.0,CNS-Oligo
DO22720,9.09,36.36,0.0,0.0,27.27,27.27,CNS-Oligo
DO22382,0.0,50.0,0.0,0.0,25.0,25.0,CNS-Oligo
DO22324,0.0,0.0,25.0,0.0,37.5,37.5,CNS-Oligo
DO22293,0.0,28.57,0.0,0.0,42.86,28.57,CNS-Oligo
DO22536,9.09,9.09,0.0,0.0,18.18,63.64,CNS-Oligo
DO22548,0.0,12.5,0.0,0.0,37.5,50.0,CNS-Oligo
DO22295,0.0,50.0,0.0,0.0,0.0,50.0,CNS-Oligo
DO48578,9.09,0.0,27.27,9.09,45.45,9.09,Panc-Endocrine
DO46785,16.67,0.0,33.33,0.0,50.0,0.0,Panc-Endocrine
DO46781,0.0,0.0,0.0,0.0,0.0,100.0,Panc-Endocrine
DO51181,,,,,,,Panc-Endocrine
DO51175,0.0,33.33,0.0,0.0,50.0,16.67,Panc-Endocrine
DO52132,0.0,0.0,0.0,0.0,100.0,0.0,Panc-Endocrine
DO52128,0.0,50.0,25.0,0.0,0.0,25.0,Panc-Endocrine
DO46757,0.0,25.0,12.5,0.0,37.5,25.0,Panc-Endocrine
DO46749,0.0,20.0,10.0,0.0,60.0,10.0,Panc-Endocrine
DO46744,100.0,0.0,0.0,0.0,0.0,0.0,Panc-Endocrine
DO51171,20.0,0.0,30.0,0.0,50.0,0.0,Panc-Endocrine
DO52164,0.0,0.0,25.0,12.5,25.0,37.5,Panc-Endocrine
DO51176,0.0,0.0,33.33,0.0,33.33,33.33,Panc-Endocrine
DO51185,,,,,,,Panc-Endocrine
DO51172,0.0,33.33,0.0,33.33,33.33,0.0,Panc-Endocrine
DO52134,0.0,0.0,20.0,0.0,40.0,40.0,Panc-Endocrine
DO52162,0.0,0.0,100.0,0.0,0.0,0.0,Panc-Endocrine
DO46771,0.0,0.0,100.0,0.0,0.0,0.0,Panc-Endocrine
DO52152,0.0,40.0,0.0,0.0,20.0,40.0,Panc-Endocrine
DO51177,0.0,50.0,25.0,0.0,25.0,0.0,Panc-Endocrine
DO48581,18.18,9.09,9.09,18.18,18.18,27.27,Panc-Endocrine
DO48545,0.0,0.0,0.0,0.0,50.0,50.0,Panc-Endocrine
DO51178,0.0,0.0,0.0,0.0,50.0,50.0,Panc-Endocrine
DO46759,0.0,0.0,10.0,10.0,50.0,30.0,Panc-Endocrine
DO52131,25.0,25.0,0.0,0.0,25.0,25.0,Panc-Endocrine
DO46753,0.0,37.5,37.5,0.0,25.0,0.0,Panc-Endocrine
DO51173,,,,,,,Panc-Endocrine
DO48541,14.29,0.0,42.86,0.0,42.86,0.0,Panc-Endocrine
DO52146,7.69,23.08,30.77,0.0,23.08,15.38,Panc-Endocrine
DO48554,0.0,0.0,0.0,0.0,100.0,0.0,Panc-Endocrine
DO46755,0.0,25.0,0.0,25.0,25.0,25.0,Panc-Endocrine
DO46777,0.0,50.0,0.0,0.0,50.0,0.0,Panc-Endocrine
DO46763,0.0,22.22,11.11,0.0,44.44,22.22,Panc-Endocrine
DO51182,6.25,0.0,12.5,6.25,62.5,12.5,Panc-Endocrine
DO52156,50.0,25.0,0.0,0.0,0.0,25.0,Panc-Endocrine
DO46767,25.0,50.0,0.0,0.0,25.0,0.0,Panc-Endocrine
DO52122,20.0,0.0,20.0,0.0,20.0,40.0,Panc-Endocrine
DO48573,0.0,37.5,12.5,0.0,12.5,37.5,Panc-Endocrine
DO52161,17.65,11.76,5.88,0.0,35.29,29.41,Panc-Endocrine
DO52158,,,,,,,Panc-Endocrine
DO52151,0.0,4.76,1.59,3.17,28.57,61.9,Panc-Endocrine
DO52139,0.0,18.18,18.18,0.0,45.45,18.18,Panc-Endocrine
DO46779,0.0,0.0,57.14,14.29,14.29,14.29,Panc-Endocrine
DO46745,0.0,25.0,0.0,0.0,75.0,0.0,Panc-Endocrine
DO52141,,,,,,,Panc-Endocrine
DO52137,14.29,0.0,0.0,0.0,42.86,42.86,Panc-Endocrine
DO51170,40.0,0.0,0.0,0.0,40.0,20.0,Panc-Endocrine
DO52129,0.0,10.0,65.0,10.0,0.0,15.0,Panc-Endocrine
DO52148,,,,,,,Panc-Endocrine
DO48553,20.0,0.0,20.0,0.0,20.0,40.0,Panc-Endocrine
DO46751,8.33,0.0,0.0,0.0,58.33,33.33,Panc-Endocrine
DO46761,0.0,37.5,12.5,0.0,25.0,25.0,Panc-Endocrine
DO46769,18.18,9.09,36.36,0.0,18.18,18.18,Panc-Endocrine
DO51184,0.0,33.33,66.67,0.0,0.0,0.0,Panc-Endocrine
DO52147,0.0,0.0,16.67,0.0,33.33,50.0,Panc-Endocrine
DO52125,9.09,36.36,18.18,0.0,9.09,27.27,Panc-Endocrine
DO51169,,,,,,,Panc-Endocrine
DO52136,0.0,12.5,12.5,0.0,62.5,12.5,Panc-Endocrine
DO46747,0.0,0.0,33.33,0.0,66.67,0.0,Panc-Endocrine
DO51174,0.0,0.0,0.0,0.0,100.0,0.0,Panc-Endocrine
DO51179,,,,,,,Panc-Endocrine
DO48520,0.0,40.0,20.0,0.0,20.0,20.0,Panc-Endocrine
DO52127,11.11,22.22,11.11,0.0,44.44,11.11,Panc-Endocrine
DO52126,6.67,10.0,20.0,6.67,43.33,13.33,Panc-Endocrine
DO46773,0.0,50.0,0.0,0.0,50.0,0.0,Panc-Endocrine
DO48539,0.0,0.0,42.86,0.0,28.57,28.57,Panc-Endocrine
DO52150,0.0,0.0,12.5,6.25,75.0,6.25,Panc-Endocrine
DO52135,0.0,0.0,0.0,33.33,0.0,66.67,Panc-Endocrine
DO46783,7.41,11.11,11.11,11.11,29.63,29.63,Panc-Endocrine
DO52149,33.33,33.33,0.0,0.0,0.0,33.33,Panc-Endocrine
DO51187,0.0,0.0,22.22,0.0,66.67,11.11,Panc-Endocrine
DO52123,0.0,0.0,33.33,0.0,0.0,66.67,Panc-Endocrine
DO52124,0.0,0.0,58.93,17.86,14.29,8.93,Panc-Endocrine
DO52155,0.0,28.57,0.0,0.0,42.86,28.57,Panc-Endocrine
DO52142,0.0,42.86,0.0,14.29,28.57,14.29,Panc-Endocrine
DO51180,3.7,0.0,14.81,0.0,29.63,51.85,Panc-Endocrine
DO52154,0.0,0.0,0.0,0.0,100.0,0.0,Panc-Endocrine
DO52153,0.0,0.0,0.0,33.33,33.33,33.33,Panc-Endocrine
DO52143,0.0,0.0,14.29,0.0,57.14,28.57,Panc-Endocrine
DO48557,25.0,0.0,50.0,0.0,25.0,0.0,Panc-Endocrine
DO52159,16.67,33.33,16.67,0.0,16.67,16.67,Panc-Endocrine
DO46853,8.33,25.0,16.67,0.0,25.0,25.0,Kidney-RCC
DO17323,18.75,25.0,0.0,6.25,43.75,6.25,Kidney-RCC
DO46847,0.0,18.75,31.25,0.0,37.5,12.5,Kidney-RCC
DO46973,20.83,0.0,25.0,0.0,33.33,20.83,Kidney-RCC
DO46856,21.74,17.39,21.74,4.35,21.74,13.04,Kidney-RCC
DO17791,30.0,0.0,10.0,0.0,30.0,30.0,Kidney-RCC
DO20768,7.14,14.29,28.57,0.0,50.0,0.0,Kidney-RCC
DO19028,0.0,28.57,14.29,14.29,42.86,0.0,Kidney-RCC
DO16881,0.0,20.0,10.0,10.0,40.0,20.0,Kidney-RCC
DO46984,14.29,9.52,14.29,9.52,28.57,23.81,Kidney-RCC
DO20905,18.18,9.09,18.18,0.0,45.45,9.09,Kidney-RCC
DO47088,36.0,32.0,4.0,4.0,20.0,4.0,Kidney-RCC
DO46945,0.0,20.0,30.0,0.0,40.0,10.0,Kidney-RCC
DO20839,13.64,31.82,18.18,0.0,22.73,13.64,Kidney-RCC
DO47056,7.69,23.08,7.69,0.0,53.85,7.69,Kidney-RCC
DO17848,0.0,0.0,20.0,0.0,50.0,30.0,Kidney-RCC
DO48516,9.09,22.73,27.27,13.64,27.27,0.0,Kidney-RCC
DO18988,5.26,15.79,15.79,10.53,36.84,15.79,Kidney-RCC
DO19380,7.69,23.08,15.38,0.0,15.38,38.46,Kidney-RCC
DO46913,12.5,12.5,25.0,0.0,37.5,12.5,Kidney-RCC
DO20082,10.53,15.79,15.79,5.26,31.58,21.05,Kidney-RCC
DO44517,9.52,14.29,38.1,0.0,23.81,14.29,Kidney-RCC
DO48509,9.52,19.05,14.29,19.05,23.81,14.29,Kidney-RCC
DO46838,10.0,20.0,20.0,5.0,30.0,15.0,Kidney-RCC
DO44485,15.38,15.38,15.38,7.69,38.46,7.69,Kidney-RCC
DO46832,21.43,0.0,21.43,0.0,35.71,21.43,Kidney-RCC
DO46893,0.0,33.33,11.11,0.0,44.44,11.11,Kidney-RCC
DO18839,7.69,0.0,30.77,15.38,38.46,7.69,Kidney-RCC
DO47234,0.0,21.43,21.43,14.29,35.71,7.14,Kidney-RCC
DO47162,0.0,23.08,23.08,0.0,23.08,30.77,Kidney-RCC
DO46877,0.93,13.89,6.48,1.85,25.0,51.85,Kidney-RCC
DO19733,22.22,11.11,22.22,0.0,22.22,22.22,Kidney-RCC
DO20867,23.81,28.57,9.52,0.0,33.33,4.76,Kidney-RCC
DO46873,5.88,11.76,0.0,0.0,52.94,29.41,Kidney-RCC
DO44465,0.0,57.14,28.57,0.0,14.29,0.0,Kidney-RCC
DO47165,18.18,9.09,9.09,0.0,36.36,27.27,Kidney-RCC
DO46889,0.0,15.38,15.38,0.0,38.46,30.77,Kidney-RCC
DO47132,0.0,16.67,16.67,0.0,33.33,33.33,Kidney-RCC
DO47243,0.0,10.0,40.0,10.0,40.0,0.0,Kidney-RCC
DO46953,9.52,14.29,14.29,9.52,33.33,19.05,Kidney-RCC
DO16248,6.9,24.14,13.79,3.45,37.93,13.79,Kidney-RCC
DO47004,21.05,15.79,21.05,0.0,36.84,5.26,Kidney-RCC
DO20416,7.69,38.46,23.08,0.0,15.38,15.38,Kidney-RCC
DO46929,25.93,11.11,22.22,3.7,22.22,14.81,Kidney-RCC
DO44469,7.41,18.52,33.33,0.0,37.04,3.7,Kidney-RCC
DO47016,0.0,28.57,28.57,14.29,28.57,0.0,Kidney-RCC
DO20923,0.0,20.0,20.0,0.0,50.0,10.0,Kidney-RCC
DO20928,0.0,8.33,33.33,8.33,33.33,16.67,Kidney-RCC
DO18016,4.17,20.83,12.5,0.0,45.83,16.67,Kidney-RCC
DO46881,8.0,16.0,12.0,4.0,44.0,16.0,Kidney-RCC
DO16110,4.76,33.33,0.0,0.0,38.1,23.81,Kidney-RCC
DO20770,0.0,27.27,9.09,18.18,45.45,0.0,Kidney-RCC
DO46844,4.55,13.64,27.27,9.09,40.91,4.55,Kidney-RCC
DO46937,13.04,13.04,39.13,0.0,21.74,13.04,Kidney-RCC
DO47064,11.11,11.11,11.11,11.11,11.11,44.44,Kidney-RCC
DO46850,11.54,30.77,11.54,0.0,34.62,11.54,Kidney-RCC
DO46897,70.83,8.33,8.33,2.08,8.33,2.08,Kidney-RCC
DO44520,19.05,14.29,19.05,0.0,33.33,14.29,Kidney-RCC
DO46869,10.0,10.0,30.0,0.0,40.0,10.0,Kidney-RCC
DO46977,9.09,9.09,18.18,0.0,18.18,45.45,Kidney-RCC
DO17977,15.79,10.53,15.79,0.0,52.63,5.26,Kidney-RCC
DO47076,0.0,33.33,0.0,33.33,33.33,0.0,Kidney-RCC
DO16999,17.65,17.65,0.0,0.0,52.94,11.76,Kidney-RCC
DO46992,3.7,22.22,18.52,7.41,44.44,3.7,Kidney-RCC
DO44496,14.29,28.57,7.14,10.71,28.57,10.71,Kidney-RCC
DO46961,20.0,10.0,15.0,10.0,25.0,20.0,Kidney-RCC
DO49736,13.79,24.14,10.34,6.9,37.93,6.9,Kidney-RCC
DO47000,16.67,33.33,16.67,0.0,33.33,0.0,Kidney-RCC
DO47068,0.0,13.33,26.67,0.0,40.0,20.0,Kidney-RCC
DO47156,5.56,22.22,22.22,5.56,33.33,11.11,Kidney-RCC
DO17373,0.0,25.0,25.0,0.0,50.0,0.0,Kidney-RCC
DO16233,25.0,25.0,25.0,0.0,25.0,0.0,Kidney-RCC
DO46957,10.53,0.0,10.53,15.79,42.11,21.05,Kidney-RCC
DO47150,11.11,22.22,11.11,0.0,27.78,27.78,Kidney-RCC
DO46859,16.67,8.33,8.33,16.67,33.33,16.67,Kidney-RCC
DO44528,20.83,8.33,8.33,4.17,45.83,12.5,Kidney-RCC
DO17751,12.5,0.0,18.75,0.0,43.75,25.0,Kidney-RCC
DO17074,31.25,18.75,6.25,6.25,25.0,12.5,Kidney-RCC
DO18572,25.0,8.33,0.0,8.33,41.67,16.67,Kidney-RCC
DO46988,0.0,26.32,5.26,5.26,47.37,15.79,Kidney-RCC
DO49768,11.76,5.88,5.88,0.0,47.06,29.41,Kidney-RCC
DO16269,11.11,22.22,11.11,0.0,22.22,33.33,Kidney-RCC
DO44462,5.88,41.18,17.65,5.88,17.65,11.76,Kidney-RCC
DO48482,17.86,17.86,10.71,7.14,39.29,7.14,Kidney-RCC
DO46921,16.67,16.67,33.33,0.0,33.33,0.0,Kidney-RCC
DO47052,7.14,35.71,28.57,0.0,21.43,7.14,Kidney-RCC
DO49728,10.0,20.0,10.0,0.0,30.0,30.0,Kidney-RCC
DO17085,18.18,18.18,0.0,9.09,27.27,27.27,Kidney-RCC
DO17054,18.18,54.55,0.0,0.0,18.18,9.09,Kidney-RCC
DO46917,7.69,7.69,23.08,7.69,38.46,15.38,Kidney-RCC
DO47153,7.14,14.29,21.43,0.0,42.86,14.29,Kidney-RCC
DO46933,21.43,21.43,7.14,0.0,21.43,28.57,Kidney-RCC
DO46901,41.67,8.33,8.33,0.0,33.33,8.33,Kidney-RCC
DO46980,14.29,23.81,33.33,0.0,23.81,4.76,Kidney-RCC
DO18651,5.88,17.65,5.88,17.65,35.29,17.65,Kidney-RCC
DO49738,16.67,0.0,33.33,0.0,0.0,50.0,Kidney-RCC
DO20863,10.0,10.0,30.0,0.0,50.0,0.0,Kidney-RCC
DO44515,6.67,46.67,13.33,6.67,20.0,6.67,Kidney-RCC
DO47104,16.67,0.0,16.67,0.0,25.0,41.67,Kidney-RCC
DO46905,34.78,13.04,13.04,4.35,26.09,8.7,Kidney-RCC
DO47092,5.26,10.53,21.05,0.0,52.63,10.53,Kidney-RCC
DO44525,20.0,20.0,10.0,15.0,25.0,10.0,Kidney-RCC
DO46834,0.0,50.0,0.0,0.0,50.0,0.0,Kidney-RCC
DO47171,10.53,5.26,21.05,0.0,36.84,26.32,Kidney-RCC
DO47100,31.91,10.64,21.28,2.13,27.66,6.38,Kidney-RCC
DO51551,21.43,21.43,28.57,0.0,7.14,21.43,Kidney-RCC
DO46827,26.09,13.04,30.43,4.35,17.39,8.7,Kidney-RCC
DO47080,0.0,8.33,41.67,16.67,25.0,8.33,Kidney-RCC
DO48474,25.0,8.33,8.33,0.0,16.67,41.67,Kidney-RCC
DO16136,11.11,16.67,22.22,0.0,38.89,11.11,Kidney-RCC
DO47060,17.65,11.76,17.65,17.65,23.53,11.76,Kidney-RCC
DO16769,7.14,14.29,14.29,14.29,21.43,28.57,Kidney-RCC
DO46836,15.38,23.08,7.69,3.85,38.46,11.54,Kidney-RCC
DO47159,11.11,16.67,16.67,0.0,33.33,22.22,Kidney-RCC
DO20915,20.0,15.0,10.0,5.0,35.0,15.0,Kidney-RCC
DO47124,8.33,25.0,8.33,8.33,41.67,8.33,Kidney-RCC
DO18671,20.0,31.43,2.86,5.71,31.43,8.57,Kidney-RCC
DO18056,31.25,18.75,25.0,6.25,18.75,0.0,Kidney-RCC
DO18164,10.53,26.32,10.53,0.0,36.84,15.79,Kidney-RCC
DO47048,0.0,33.33,11.11,11.11,33.33,11.11,Kidney-RCC
DO48495,20.83,12.5,16.67,0.0,29.17,20.83,Kidney-RCC
DO20604,15.38,38.46,23.08,0.0,7.69,15.38,Kidney-RCC
DO46826,0.0,28.57,14.29,0.0,42.86,14.29,Kidney-RCC
DO46830,0.0,30.77,15.38,0.0,38.46,15.38,Kidney-RCC
DO46909,18.18,9.09,27.27,0.0,36.36,9.09,Kidney-RCC
DO44478,0.0,50.0,0.0,0.0,50.0,0.0,Kidney-RCC
DO47128,17.39,17.39,21.74,8.7,30.43,4.35,Kidney-RCC
DO20849,15.0,20.0,20.0,0.0,35.0,10.0,Kidney-RCC
DO46885,0.0,25.0,37.5,25.0,0.0,12.5,Kidney-RCC
DO47174,7.69,7.69,38.46,0.0,30.77,15.38,Kidney-RCC
DO20780,15.79,15.79,15.79,0.0,36.84,15.79,Kidney-RCC
DO47108,0.0,0.0,66.67,0.0,0.0,33.33,Kidney-RCC
DO47096,0.0,11.11,22.22,11.11,33.33,22.22,Kidney-RCC
DO16113,14.29,42.86,14.29,14.29,0.0,14.29,Kidney-RCC
DO47116,11.11,16.67,22.22,5.56,38.89,5.56,Kidney-RCC
DO19048,5.88,41.18,5.88,5.88,17.65,23.53,Kidney-RCC
DO46925,21.05,5.26,15.79,5.26,31.58,21.05,Kidney-RCC
DO47072,13.04,8.7,26.09,4.35,34.78,13.04,Kidney-RCC
DO18701,7.14,7.14,21.43,0.0,42.86,21.43,Kidney-RCC
DO17722,0.0,50.0,16.67,0.0,0.0,33.33,Kidney-RCC
DO18392,0.0,10.53,26.32,5.26,26.32,31.58,Kidney-RCC
DO17178,23.08,23.08,7.69,0.0,30.77,15.38,Kidney-RCC
DO47249,0.0,0.0,0.0,0.0,0.0,100.0,Kidney-RCC
DO52532,0.0,0.0,0.0,25.0,75.0,0.0,Prost-AdenoCA
DO51064,11.11,0.0,11.11,0.0,22.22,55.56,Prost-AdenoCA
DO51056,0.0,0.0,20.0,0.0,40.0,40.0,Prost-AdenoCA
DO36283,0.0,20.0,0.0,0.0,40.0,40.0,Prost-AdenoCA
DO51074,33.33,0.0,16.67,0.0,33.33,16.67,Prost-AdenoCA
DO52510,16.67,16.67,0.0,0.0,33.33,33.33,Prost-AdenoCA
DO51134,12.5,0.0,12.5,0.0,25.0,50.0,Prost-AdenoCA
DO51060,0.0,15.38,0.0,0.0,38.46,46.15,Prost-AdenoCA
DO51954,10.0,20.0,0.0,0.0,40.0,30.0,Prost-AdenoCA
DO51958,16.67,5.56,16.67,0.0,38.89,22.22,Prost-AdenoCA
DO51959,25.0,0.0,8.33,0.0,25.0,41.67,Prost-AdenoCA
DO51965,4.88,19.51,19.51,4.88,31.71,19.51,Prost-AdenoCA
DO51962,6.12,18.37,22.45,6.12,30.61,16.33,Prost-AdenoCA
DO51953,7.41,11.11,3.7,7.41,25.93,44.44,Prost-AdenoCA
DO51956,5.0,5.0,10.0,5.0,35.0,40.0,Prost-AdenoCA
DO51960,12.5,6.25,0.0,0.0,18.75,62.5,Prost-AdenoCA
DO51955,10.0,10.0,20.0,0.0,30.0,30.0,Prost-AdenoCA
DO51964,0.0,8.33,25.0,8.33,33.33,25.0,Prost-AdenoCA
DO46813,9.09,18.18,9.09,0.0,27.27,36.36,Prost-AdenoCA
DO51133,0.0,10.0,10.0,0.0,10.0,70.0,Prost-AdenoCA
DO51112,20.0,0.0,20.0,0.0,0.0,60.0,Prost-AdenoCA
DO51080,0.0,0.0,25.0,25.0,0.0,50.0,Prost-AdenoCA
DO51086,16.67,0.0,0.0,0.0,33.33,50.0,Prost-AdenoCA
DO52511,0.0,0.0,0.0,0.0,0.0,100.0,Prost-AdenoCA
DO51116,0.0,20.0,0.0,10.0,10.0,60.0,Prost-AdenoCA
DO52526,0.0,0.0,0.0,0.0,0.0,100.0,Prost-AdenoCA
DO46796,0.0,0.0,44.44,0.0,0.0,55.56,Prost-AdenoCA
DO51147,0.0,0.0,28.57,0.0,14.29,57.14,Prost-AdenoCA
DO46787,12.5,12.5,37.5,12.5,0.0,25.0,Prost-AdenoCA
DO51150,0.0,0.0,14.29,0.0,14.29,71.43,Prost-AdenoCA
DO10821,0.0,33.33,0.0,0.0,33.33,33.33,Prost-AdenoCA
DO51069,10.0,10.0,10.0,10.0,10.0,50.0,Prost-AdenoCA
DO51140,0.0,0.0,0.0,0.0,50.0,50.0,Prost-AdenoCA
DO46788,8.33,8.33,8.33,8.33,33.33,33.33,Prost-AdenoCA
DO10825,50.0,0.0,0.0,0.0,0.0,50.0,Prost-AdenoCA
DO51049,20.0,20.0,20.0,0.0,20.0,20.0,Prost-AdenoCA
DO36359,,,,,,,Prost-AdenoCA
DO51053,12.5,12.5,0.0,12.5,12.5,50.0,Prost-AdenoCA
DO51138,0.0,10.0,0.0,0.0,30.0,60.0,Prost-AdenoCA
DO51057,0.0,33.33,16.67,0.0,16.67,33.33,Prost-AdenoCA
DO51155,11.11,11.11,0.0,0.0,33.33,44.44,Prost-AdenoCA
DO51143,9.09,0.0,9.09,9.09,18.18,54.55,Prost-AdenoCA
DO51066,0.0,8.33,16.67,16.67,16.67,41.67,Prost-AdenoCA
DO51127,16.67,0.0,16.67,0.0,0.0,66.67,Prost-AdenoCA
DO51139,0.0,50.0,16.67,0.0,33.33,0.0,Prost-AdenoCA
DO51052,0.0,0.0,0.0,0.0,50.0,50.0,Prost-AdenoCA
DO10813,0.0,0.0,0.0,0.0,0.0,100.0,Prost-AdenoCA
DO10817,0.0,0.0,16.67,0.0,16.67,66.67,Prost-AdenoCA
DO10829,12.5,0.0,12.5,0.0,37.5,37.5,Prost-AdenoCA
DO51131,25.0,0.0,0.0,0.0,25.0,50.0,Prost-AdenoCA
DO51085,33.33,0.0,16.67,16.67,0.0,33.33,Prost-AdenoCA
DO52504,0.0,10.0,10.0,10.0,0.0,70.0,Prost-AdenoCA
DO51078,4.17,41.67,8.33,4.17,25.0,16.67,Prost-AdenoCA
DO51114,0.0,18.75,12.5,6.25,31.25,31.25,Prost-AdenoCA
DO51075,11.11,22.22,11.11,11.11,22.22,22.22,Prost-AdenoCA
DO52503,33.33,0.0,0.0,0.0,0.0,66.67,Prost-AdenoCA
DO51068,0.0,16.67,0.0,16.67,33.33,33.33,Prost-AdenoCA
DO46793,0.0,0.0,75.0,0.0,25.0,0.0,Prost-AdenoCA
DO51106,0.0,25.0,25.0,0.0,50.0,0.0,Prost-AdenoCA
DO10811,25.0,0.0,0.0,0.0,25.0,50.0,Prost-AdenoCA
DO51103,14.29,14.29,0.0,0.0,42.86,28.57,Prost-AdenoCA
DO51104,0.0,0.0,0.0,14.29,0.0,85.71,Prost-AdenoCA
DO52516,8.33,0.0,8.33,0.0,33.33,50.0,Prost-AdenoCA
DO52501,33.33,0.0,0.0,0.0,33.33,33.33,Prost-AdenoCA
DO46790,0.0,16.67,0.0,16.67,50.0,16.67,Prost-AdenoCA
DO36239,0.0,0.0,0.0,0.0,33.33,66.67,Prost-AdenoCA
DO49815,0.0,100.0,0.0,0.0,0.0,0.0,Prost-AdenoCA
DO51054,0.0,0.0,0.0,0.0,60.0,40.0,Prost-AdenoCA
DO51120,0.0,0.0,28.57,0.0,14.29,57.14,Prost-AdenoCA
DO51046,23.08,30.77,7.69,0.0,15.38,23.08,Prost-AdenoCA
DO51144,11.11,11.11,11.11,0.0,22.22,44.44,Prost-AdenoCA
DO51090,14.29,14.29,0.0,0.0,42.86,28.57,Prost-AdenoCA
DO51108,0.0,0.0,50.0,0.0,25.0,25.0,Prost-AdenoCA
DO51123,0.0,25.0,0.0,0.0,25.0,50.0,Prost-AdenoCA
DO51091,25.0,6.25,12.5,6.25,25.0,25.0,Prost-AdenoCA
DO52509,,,,,,,Prost-AdenoCA
DO52522,25.0,0.0,0.0,0.0,50.0,25.0,Prost-AdenoCA
DO51156,0.0,50.0,0.0,0.0,50.0,0.0,Prost-AdenoCA
DO51126,20.0,20.0,0.0,0.0,20.0,40.0,Prost-AdenoCA
DO52518,0.0,33.33,0.0,0.0,0.0,66.67,Prost-AdenoCA
DO52524,0.0,33.33,0.0,0.0,0.0,66.67,Prost-AdenoCA
DO51117,0.0,12.5,25.0,12.5,37.5,12.5,Prost-AdenoCA
DO51107,0.0,10.0,10.0,10.0,30.0,40.0,Prost-AdenoCA
DO10823,33.33,16.67,0.0,0.0,16.67,33.33,Prost-AdenoCA
DO51072,0.0,33.33,0.0,0.0,66.67,0.0,Prost-AdenoCA
DO36262,0.0,20.0,0.0,10.0,40.0,30.0,Prost-AdenoCA
DO51102,0.0,12.5,0.0,0.0,25.0,62.5,Prost-AdenoCA
DO52528,0.0,25.0,0.0,0.0,50.0,25.0,Prost-AdenoCA
DO36345,0.0,0.0,0.0,0.0,0.0,100.0,Prost-AdenoCA
DO51044,0.0,20.0,10.0,0.0,50.0,20.0,Prost-AdenoCA
DO51105,0.0,14.29,14.29,28.57,0.0,42.86,Prost-AdenoCA
DO51099,0.0,20.0,0.0,20.0,0.0,60.0,Prost-AdenoCA
DO51051,5.88,11.76,23.53,5.88,23.53,29.41,Prost-AdenoCA
DO52512,0.0,7.69,0.0,0.0,46.15,46.15,Prost-AdenoCA
DO46792,15.38,23.08,7.69,0.0,38.46,15.38,Prost-AdenoCA
DO51142,0.0,13.33,0.0,0.0,13.33,73.33,Prost-AdenoCA
DO51067,0.0,14.29,0.0,0.0,57.14,28.57,Prost-AdenoCA
DO51063,0.0,25.0,0.0,0.0,50.0,25.0,Prost-AdenoCA
DO51137,0.0,0.0,8.33,8.33,25.0,58.33,Prost-AdenoCA
DO51145,0.0,14.29,0.0,0.0,42.86,42.86,Prost-AdenoCA
DO51109,50.0,0.0,25.0,0.0,0.0,25.0,Prost-AdenoCA
DO46795,0.0,12.5,12.5,0.0,37.5,37.5,Prost-AdenoCA
DO36254,0.0,0.0,0.0,0.0,42.86,57.14,Prost-AdenoCA
DO51093,0.0,0.0,14.29,0.0,42.86,42.86,Prost-AdenoCA
DO10835,50.0,25.0,0.0,0.0,0.0,25.0,Prost-AdenoCA
DO51136,0.0,0.0,33.33,0.0,66.67,0.0,Prost-AdenoCA
DO51122,0.0,0.0,0.0,14.29,42.86,42.86,Prost-AdenoCA
DO51089,0.0,0.0,40.0,0.0,20.0,40.0,Prost-AdenoCA
DO51158,0.0,20.0,20.0,0.0,60.0,0.0,Prost-AdenoCA
DO51157,16.67,0.0,0.0,0.0,33.33,50.0,Prost-AdenoCA
DO51096,14.29,0.0,0.0,0.0,57.14,28.57,Prost-AdenoCA
DO36361,,,,,,,Prost-AdenoCA
DO52520,0.0,0.0,0.0,0.0,0.0,100.0,Prost-AdenoCA
