,AT_transversion,AT_transition,GC_transversion,CpG_transversion,GC_transition,CpG_transition,feature
DO220896,1.83,3.66,0.61,0.0,76.22,17.68,Skin-Melanoma
DO220873,2.53,2.53,1.69,0.0,78.9,14.35,Skin-Melanoma
DO47255,2.24,3.59,3.14,0.45,76.68,13.9,Skin-Melanoma
DO220852,0.42,3.39,0.85,1.27,80.51,13.56,Skin-Melanoma
DO38129,3.4,2.04,0.68,0.0,78.91,14.97,Skin-Melanoma
DO37723,6.67,0.0,6.67,0.0,26.67,60.0,Skin-Melanoma
DO6362,11.11,22.22,11.11,0.0,22.22,33.33,Lymph-CLL
DO6585,0.0,66.67,0.0,0.0,0.0,33.33,Lymph-CLL
DO7304,,,,,,,Lymph-CLL
DO7280,0.0,0.0,20.0,0.0,60.0,20.0,Lymph-CLL
DO6351,0.0,16.67,16.67,0.0,33.33,33.33,Lymph-CLL
DO6558,0.0,0.0,50.0,0.0,0.0,50.0,Lymph-CLL
DO6432,0.0,0.0,25.0,8.33,33.33,33.33,Lymph-CLL
DO6492,9.09,9.09,18.18,0.0,18.18,45.45,Lymph-CLL
DO52703,0.0,0.0,0.0,0.0,0.0,100.0,Lymph-CLL
DO6364,0.0,25.0,25.0,0.0,25.0,25.0,Lymph-CLL
DO6353,33.33,33.33,33.33,0.0,0.0,0.0,Lymph-CLL
DO6748,0.0,12.5,0.0,12.5,25.0,50.0,Lymph-CLL
DO6470,25.0,25.0,0.0,0.0,0.0,50.0,Lymph-CLL
DO52700,0.0,50.0,0.0,0.0,0.0,50.0,Lymph-CLL
DO51967,0.0,50.0,25.0,0.0,25.0,0.0,Lymph-CLL
DO6378,0.0,11.11,0.0,11.11,44.44,33.33,Lymph-CLL
DO6370,14.29,14.29,0.0,0.0,57.14,14.29,Lymph-CLL
DO6552,12.5,12.5,0.0,12.5,0.0,62.5,Lymph-CLL
DO52724,0.0,33.33,16.67,16.67,16.67,16.67,Lymph-CLL
DO6504,16.67,0.0,0.0,0.0,50.0,33.33,Lymph-CLL
DO7024,0.0,0.0,0.0,0.0,25.0,75.0,Lymph-CLL
DO6430,0.0,25.0,0.0,25.0,0.0,50.0,Lymph-CLL
DO52701,40.0,0.0,0.0,0.0,40.0,20.0,Lymph-CLL
DO52719,0.0,50.0,0.0,0.0,50.0,0.0,Lymph-CLL
DO6394,0.0,0.0,0.0,0.0,50.0,50.0,Lymph-CLL
DO6438,0.0,25.0,25.0,0.0,50.0,0.0,Lymph-CLL
DO6934,0.0,0.0,0.0,0.0,25.0,75.0,Lymph-CLL
DO6354,0.0,25.0,0.0,0.0,75.0,0.0,Lymph-CLL
DO52698,33.33,0.0,0.0,0.0,16.67,50.0,Lymph-CLL
DO6549,20.0,40.0,0.0,0.0,20.0,20.0,Lymph-CLL
DO52706,20.0,0.0,0.0,0.0,40.0,40.0,Lymph-CLL
DO7112,36.36,0.0,9.09,18.18,36.36,0.0,Lymph-CLL
DO6386,0.0,50.0,0.0,0.0,50.0,0.0,Lymph-CLL
DO6402,14.29,14.29,14.29,0.0,28.57,28.57,Lymph-CLL
DO7196,0.0,25.0,0.0,12.5,25.0,37.5,Lymph-CLL
DO52710,0.0,50.0,0.0,0.0,37.5,12.5,Lymph-CLL
DO7084,50.0,0.0,0.0,0.0,25.0,25.0,Lymph-CLL
DO7166,0.0,0.0,0.0,0.0,66.67,33.33,Lymph-CLL
DO6450,0.0,0.0,100.0,0.0,0.0,0.0,Lymph-CLL
DO52709,20.0,80.0,0.0,0.0,0.0,0.0,Lymph-CLL
DO7328,0.0,20.0,0.0,20.0,40.0,20.0,Lymph-CLL
DO7108,0.0,0.0,0.0,0.0,0.0,100.0,Lymph-CLL
DO6368,0.0,20.0,0.0,20.0,40.0,20.0,Lymph-CLL
DO6410,12.5,12.5,0.0,12.5,37.5,25.0,Lymph-CLL
DO6742,0.0,0.0,16.67,0.0,16.67,66.67,Lymph-CLL
DO52722,0.0,14.29,14.29,0.0,71.43,0.0,Lymph-CLL
DO6754,0.0,0.0,33.33,0.0,66.67,0.0,Lymph-CLL
DO52713,33.33,16.67,0.0,0.0,16.67,33.33,Lymph-CLL
DO52725,0.0,0.0,0.0,0.0,37.5,62.5,Lymph-CLL
DO6388,25.0,25.0,0.0,0.0,25.0,25.0,Lymph-CLL
DO51989,0.0,0.0,16.67,0.0,16.67,66.67,Lymph-CLL
DO52711,0.0,0.0,0.0,0.0,100.0,0.0,Lymph-CLL
DO52717,0.0,21.43,7.14,0.0,50.0,21.43,Lymph-CLL
DO52708,9.09,9.09,0.0,0.0,45.45,36.36,Lymph-CLL
DO6474,0.0,0.0,25.0,0.0,25.0,50.0,Lymph-CLL
DO51992,16.67,16.67,16.67,0.0,33.33,16.67,Lymph-CLL
DO7124,0.0,0.0,66.67,0.0,0.0,33.33,Lymph-CLL
DO7018,0.0,33.33,16.67,16.67,16.67,16.67,Lymph-CLL
DO6665,0.0,33.33,0.0,0.0,33.33,33.33,Lymph-CLL
DO6898,0.0,0.0,37.5,12.5,25.0,25.0,Lymph-CLL
DO6428,0.0,25.0,0.0,0.0,25.0,50.0,Lymph-CLL
DO52718,22.22,22.22,11.11,22.22,22.22,0.0,Lymph-CLL
DO6513,0.0,0.0,0.0,0.0,33.33,66.67,Lymph-CLL
DO6396,,,,,,,Lymph-CLL
DO52702,16.67,0.0,16.67,0.0,33.33,33.33,Lymph-CLL
DO6690,10.0,20.0,20.0,0.0,20.0,30.0,Lymph-CLL
DO7214,17.65,11.76,5.88,5.88,35.29,23.53,Lymph-CLL
DO52714,0.0,33.33,0.0,0.0,33.33,33.33,Lymph-CLL
DO6382,0.0,25.0,50.0,0.0,25.0,0.0,Lymph-CLL
DO6580,0.0,28.57,0.0,0.0,42.86,28.57,Lymph-CLL
DO6610,0.0,75.0,0.0,0.0,25.0,0.0,Lymph-CLL
DO6695,0.0,100.0,0.0,0.0,0.0,0.0,Lymph-CLL
DO52707,0.0,0.0,0.0,0.0,50.0,50.0,Lymph-CLL
DO6561,0.0,14.29,14.29,0.0,42.86,28.57,Lymph-CLL
