gene	expr	reptime	hic
ALKBH6	980636.0	320.0	19.0
ALKBH7	943949.0	407.0	31.0
ALKBH8	234842.0	643.0	-2.0
ALLC	252769.0	496.0	5.0
ALMS1	777501.0	590.0	22.0
ALOX12	1645511.0	360.0	14.0
ALOX12B	1528802.0	272.0	26.0
ALOX15	1226703.0	318.0	25.0
ALOX15B	1528802.0	272.0	26.0
ALOX5	127792.0	737.0	36.0
ALOX5AP	381672.0	451.0	76.0
ALOXE3	1455014.0	202.0	31.0
ALPI	271362.0	191.0	32.0
ALPK1	185655.0	467.0	42.0
ALPK2	204534.0	290.0	67.0
ALPK3	351352.0	213.0	28.0
ALPL	547986.0	297.0	42.0
ALPP	307666.0	204.0	37.0
ALPPL2	307666.0	204.0	37.0
ALS2	438202.0	523.0	29.0
ALS2CL	298503.0	495.0	41.0
ALS2CR11	436378.0	491.0	24.0
ALS2CR12	554245.0	411.0	31.0
TMEM237	435399.0	534.0	25.0
CARF	543912.0	392.0	33.0
ALX1	35916.0	925.0	-34.0
ALX3	571576.0	400.0	29.0
ALX4	301098.0	575.0	9.0
AMAC1	753178.0	505.0	16.0
SLC35G5	499514.0	671.0	36.0
SLC35G6			
AMACR	270768.0	793.0	4.0
AMBN	262055.0	689.0	14.0
AMBP	244063.0	558.0	0.0
AMBRA1	880494.0	212.0	45.0
AMD1	321448.0	282.0	31.0
AMDHD1	366272.0	436.0	8.0
AMDHD2	2085452.0	321.0	49.0
AMELX			
AMELY	0.0	0.0	0.0
AMFR	498079.0	442.0	-9.0
AMH	1603571.0	240.0	27.0
AMHR2	1712232.0	191.0	56.0
AMICA1	707709.0	293.0	56.0
AMIGO1	1056159.0	272.0	37.0
AMIGO2	150007.0	380.0	-12.0
AMIGO3			
AMMECR1	157872.0		34.0
AMMECR1L	588745.0	248.0	39.0
AMN	758150.0	286.0	50.0
AMN1	313930.0	228.0	11.0
AMOT	25417.0		10.0
AMOTL1	332670.0	472.0	-7.0
AMOTL2	303429.0	189.0	21.0
AMPD1	600650.0	472.0	11.0
AMPD2	989433.0	201.0	29.0
AMPD3	777397.0	378.0	27.0
AMPH	167080.0	639.0	7.0
AMT	1585328.0	201.0	32.0
AMTN	264427.0	861.0	27.0
AMY1A			
AMY1B			
AMY1C	24508.0	1029.0	-14.0
AMY2A	27205.0	1015.0	-20.0
AMY2B	31276.0	974.0	-19.0
AMZ1	767440.0	392.0	30.0
AMZ2	764688.0	237.0	11.0
ANAPC1			
ANAPC10	182708.0	1139.0	20.0
ANAPC11	3798594.0	211.0	19.0
